"meta_id","post_id","meta_key","meta_value"
"2","3","_wp_page_template","default"
"99","38","_wp_desired_post_slug",
"107","43","_edit_lock","1761337552:76"
"111","43","_edit_last","1"
"112","43","footnotes",
"196","82","_edit_lock","1761337537:76"
"197","84","_menu_item_type","post_type"
"198","84","_menu_item_menu_item_parent","0"
"199","84","_menu_item_object_id","82"
"200","84","_menu_item_object","page"
"201","84","_menu_item_target",
"202","84","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"203","84","_menu_item_xfn",
"204","84","_menu_item_url",
"205","84","_menu_item_orphaned","1759824904"
"207","86","_menu_item_type","post_type"
"208","86","_menu_item_menu_item_parent","0"
"209","86","_menu_item_object_id","82"
"210","86","_menu_item_object","page"
"211","86","_menu_item_target",
"212","86","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"213","86","_menu_item_xfn",
"214","86","_menu_item_url",
"216","87","_menu_item_type","post_type"
"217","87","_menu_item_menu_item_parent","0"
"218","87","_menu_item_object_id","43"
"219","87","_menu_item_object","page"
"220","87","_menu_item_target",
"221","87","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"222","87","_menu_item_xfn",
"223","87","_menu_item_url",
"291","95","_menu_item_type","custom"
"292","95","_menu_item_menu_item_parent","0"
"293","95","_menu_item_object_id","95"
"294","95","_menu_item_object","custom"
"295","95","_menu_item_target",
"296","95","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"297","95","_menu_item_xfn",
"298","95","_menu_item_url","https://pharmagister.hu/wp-login.php?action=logout"
"309","97","_menu_item_type","custom"
"310","97","_menu_item_menu_item_parent","0"
"311","97","_menu_item_object_id","97"
"312","97","_menu_item_object","custom"
"313","97","_menu_item_target",
"314","97","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"315","97","_menu_item_xfn",
"316","97","_menu_item_url","https://pharmagister.hu/regisztracio-2/"
"319","86","_jp_nav_item_options","a:4:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:11:""which_users"";s:9:""logged_in"";s:7:""can_see"";s:3:""yes"";}"
"320","87","_jp_nav_item_options","a:4:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:11:""which_users"";s:9:""logged_in"";s:7:""can_see"";s:3:""yes"";}"
"322","95","_jp_nav_item_options","a:4:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:11:""which_users"";s:9:""logged_in"";s:7:""can_see"";s:3:""yes"";}"
"324","97","_jp_nav_item_options","a:4:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:11:""which_users"";s:10:""logged_out"";s:7:""can_see"";s:3:""yes"";}"
"348","101","_edit_lock","1761337576:76"
"381","107","_edit_lock","1761337514:76"
"382","109","_menu_item_type","post_type"
"383","109","_menu_item_menu_item_parent","0"
"384","109","_menu_item_object_id","107"
"385","109","_menu_item_object","page"
"386","109","_menu_item_target",
"387","109","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"388","109","_menu_item_xfn",
"389","109","_menu_item_url",
