"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"3","1","2025-10-01 16:48:36","2025-10-01 16:48:36","<!-- wp:heading -->
<h2 class=""wp-block-heading""></h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p><strong>Hatálybalépés dátuma:</strong>&nbsp;2025. október 20.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>1. Az Adatkezelő adatai</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>• <strong>Az adatkezelő:</strong> Jékliné Epres Bettina</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Székhely/Cím:</strong>&nbsp;2723 Nyáregyháza Kossuth Lajos utca 11</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>E-mail cím:</strong>&nbsp;epresla@icloud.com</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Weboldal:</strong>&nbsp;<a href=""https://www.google.com/search?q=https://pharmagister.hu"">https://pharmagister.hu</a></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2. A kezelt adatok köre és célja</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Pharmagister.hu weboldal (a továbbiakban: ""Weboldal"" vagy ""Rendszer"") célja, hogy platformot biztosítson gyógyszertárak és helyettesítést vállaló gyógyszerészek, illetve szakasszisztensek (a továbbiakban együtt: ""Felhasználók"") számára a kapcsolatfelvételhez és a helyettesítési igények kezeléséhez. A szolgáltatás nyújtásához elengedhetetlen bizonyos személyes adatok kezelése.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.1. Regisztráció során gyűjtött adatok</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Rendszer használata regisztrációhoz kötött. A regisztráció során a következő adatokat kérjük be és kezeljük:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Minden regisztráló Felhasználó esetén:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>E-mail cím:</strong>&nbsp;Azonosítás, kapcsolattartás, rendszerüzenetek (pl. új üzenet, jelszóemlékeztető, fiók jóváhagyása/elutasítása) küldése. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Telefonszám:</strong>&nbsp;Kapcsolattartás, különösen a sikeres helyettesítés megszervezése érdekében. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Megjelenített név:</strong>&nbsp;A Felhasználó azonosítása a Rendszeren belül (pl. üzenetküldésnél, igényeknél). Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Szerepkör:</strong>&nbsp;(Gyógyszertár, Gyógyszerész, Szakasszisztens) A Rendszer funkcióinak megfelelő működéséhez (pl. ki írhat ki igényt, ki jelentkezhet). Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>""Gyógyszertár"" szerepkör választása esetén (a fentieken felül):</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Címadatok (Irányítószám, Város, Utca, Házszám):</strong>&nbsp;A helyettesítési igény helyszínének meghatározása, a helyettesítők tájékoztatása. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>""Gyógyszerész"" vagy ""Szakasszisztens"" szerepkör választása esetén (a fentieken felül):</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Vezetéknév és Keresztnév:</strong>&nbsp;A megjelenített név automatikus létrehozásához és a Felhasználó azonosításához. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.2. Profiladatok (""Profilom szerkesztése"")</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A regisztrációt követően a Felhasználóknak lehetőségük van további adatok megadására a profiljukon:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Profilkép (Opcionális):</strong>&nbsp;A Felhasználó vizuális azonosítása a Rendszeren belül. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>""Gyógyszerész"" és ""Szakasszisztens"" szerepkör esetén (kötelező a jelentkezéshez):</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Szakmai tapasztalat (évek):</strong>&nbsp;A gyógyszertárak tájékoztatása a helyettesítő releváns tapasztalatáról. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)) és a szerződés teljesítéséhez szükséges lépések megtétele (GDPR 6. cikk (1) b)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Ismert szoftverek:</strong>&nbsp;A gyógyszertárak tájékoztatása a helyettesítő szoftverismeretéről. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)) és a szerződés teljesítéséhez szükséges lépések megtétele (GDPR 6. cikk (1) b)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Kért órabér:</strong>&nbsp;A gyógyszertárak tájékoztatása a helyettesítő díjazási igényéről. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)) és a szerződés teljesítéséhez szükséges lépések megtétele (GDPR 6. cikk (1) b)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>""Gyógyszerész"" és ""Szakasszisztens"" szerepkör esetén (opcionális):</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Rövid bemutatkozás:</strong>&nbsp;Lehetőség a helyettesítő számára további releváns információk közlésére. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.3. Helyettesítési igények adatai</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A ""Gyógyszertár"" szerepkörű Felhasználók által létrehozott igények során kezelt adatok:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Dátum:</strong>&nbsp;A helyettesítés napja.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Keresett pozíció:</strong>&nbsp;(Gyógyszerész/Szakasszisztens)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Minimum követelmények:</strong>&nbsp;A gyógyszertár által meghatározott elvárások.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Létrehozó gyógyszertár adatai:</strong>&nbsp;(Név, Cím - a profilból)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ezen adatok célja a helyettesítési lehetőség közzététele a Rendszerben. Az adatkezelés jogalapja a szerződés teljesítéséhez szükséges lépések megtétele (GDPR 6. cikk (1) b)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.4. Jelentkezések adatai</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Amikor egy ""Gyógyszerész"" vagy ""Szakasszisztens"" jelentkezik egy igényre, a rendszer rögzíti a jelentkezés tényét (ki, melyik igényre jelentkezett). Ez szükséges a gyógyszertár tájékoztatásához és a jelentkezők kezeléséhez (elfogadás, elutasítás). Az adatkezelés jogalapja a szerződés teljesítéséhez szükséges lépések megtétele (GDPR 6. cikk (1) b)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.5. Rendszeren belüli üzenetek</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Felhasználók közötti üzenetváltásokat a Rendszer adatbázisa tárolja a kommunikáció biztosítása és nyomon követhetősége érdekében. Az adatkezelés jogalapja a szerződés teljesítése (GDPR 6. cikk (1) b)) és a Felhasználók hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.6. Sütik (Cookies)</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Weboldal a működéséhez elengedhetetlen sütiket használ. Amikor a Felhasználó bejelentkezik a fiókjába, több sütit (session cookie) helyezünk el az eszközén, hogy a bejelentkezési állapotát a böngészés alatt fenntartsuk. Ezek a bejelentkezési sütik általában a böngésző bezárásáig, vagy legfeljebb néhány napig érvényesek. Ha a Felhasználó kijelentkezik, ezek a sütik törlődnek.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ezek a sütik technikailag szükségesek a bejelentkezett Felhasználók számára a szolgáltatás nyújtásához. A Weboldal jelenleg nem használ analitikai, statisztikai vagy marketing célú sütiket. Amennyiben ilyen sütiket a jövőben bevezetnénk, ahhoz a Felhasználók előzetes, aktív hozzájárulását fogjuk kérni egy süti-banner segítségével.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>2.7. Ismerős meghívása</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Amennyiben a Felhasználó az ""Ismerős meghívása"" funkciót használja, az általa megadott e-mail címre a nevében egy egyszeri meghívó e-mailt küldünk. Ezt az e-mail címet más célra nem használjuk fel és nem tároljuk tartósan, kivéve, ha a meghívott személy regisztrál a Rendszerbe. Az adatkezelés jogalapja a Felhasználó hozzájárulása (GDPR 6. cikk (1) a)).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>3. Adatmegosztás és adattovábbítás</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Felhasználók személyes adatait harmadik félnek (pl. marketingszolgáltatóknak) nem adjuk át értékesítési vagy egyéb célból. Az adatok megosztása kizárólag a Rendszeren belül, a szolgáltatás nyújtásához szükséges mértékben történik:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Gyógyszertárak:</strong>&nbsp;Láthatják azon helyettesítők nevét és szakmai profiladatait (tapasztalat, szoftverismeret, órabér, bemutatkozás, profilkép), akik az általuk kiírt igényre jelentkeztek. Elfogadás esetén láthatják a helyettesítő telefonszámát is.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Helyettesítők (Gyógyszerészek, Szakasszisztensek):</strong>&nbsp;Láthatják a gyógyszertárak nevét, címét és az általuk kiírt igények részleteit (dátum, pozíció, követelmények).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Adatfeldolgozók:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Weboldal működéséhez adatfeldolgozókat veszünk igénybe:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Tárhelyszolgáltató:</strong>&nbsp;[Ide írd a tárhelyszolgáltatód nevét és székhelyét/weboldalát]. A tárhelyszolgáltató biztosítja a Weboldal és az adatbázis fizikai tárolását.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Az adatokat az Európai Gazdasági Térségen (EGT) kívülre nem továbbítjuk.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>4. Az adatkezelés időtartama</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A regisztráció során megadott személyes adatokat a Felhasználói fiók fennállásáig kezeljük.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Felhasználó bármikor kérheti fiókja és az ahhoz kapcsolódó összes adat végleges törlését a ""Profilom szerkesztése"" oldalon található ""Fiók végleges törlése"" funkcióval. A törlés végleges és visszaállíthatatlan.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A rendszeren belüli üzeneteket a fiók törléséig tároljuk.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>5. Az érintettek jogai</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Felhasználókat (érintetteket) a GDPR alapján a következő jogok illetik meg személyes adataik kezelésével kapcsolatban:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Hozzáférési jog:</strong>&nbsp;Tájékoztatást kérhetnek adataik kezeléséről, és másolatot kaphatnak a róluk kezelt adatokról.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Helyesbítéshez való jog:</strong>&nbsp;Kérhetik pontatlan adataik helyesbítését. A legtöbb adatot a Felhasználó a ""Profilom szerkesztése"" oldalon maga is módosíthatja.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Törléshez való jog (""elfeledtetéshez való jog""):</strong>&nbsp;Kérhetik adataik törlését. Ezt a ""Profilom szerkesztése"" oldalon a ""Fiók végleges törlése"" funkcióval azonnal megtehetik.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Adatkezelés korlátozásához való jog:</strong>&nbsp;Bizonyos esetekben kérhetik az adatkezelés korlátozását.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Adathordozhatósághoz való jog:</strong>&nbsp;Kérhetik, hogy a rájuk vonatkozó, általuk rendelkezésre bocsátott adatokat tagolt, széles körben használt, géppel olvasható formátumban megkapják.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Tiltakozáshoz való jog:</strong>&nbsp;Bizonyos esetekben (pl. jogos érdeken alapuló adatkezelés) tiltakozhatnak adataik kezelése ellen.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>•&nbsp;<strong>Panasztételhez való jog:</strong>&nbsp;Jogosultak panaszt tenni a felügyeleti hatóságnál (Nemzeti Adatvédelmi és Információszabadság Hatóság - NAIH, www.naih.hu).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A Felhasználók a fenti jogaikat az 1. pontban megadott elérhetőségeken, vagy a Rendszeren belüli funkciók (profil szerkesztése, fióktörlés) segítségével gyakorolhatják.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>6. Adatbiztonság</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Megfelelő technikai és szervezési intézkedéseket teszünk a személyes adatok védelme érdekében a véletlen vagy jogellenes megsemmisítés, elvesztés, megváltoztatás, jogosulatlan közlés vagy az azokhoz való jogosulatlan hozzáférés ellen. Ide tartozik többek között [pl. jelszavak titkosított tárolása, rendszeres biztonsági frissítések, hozzáférés-szabályozás - Írj ide néhány konkrét intézkedést, amit a tárhelyszolgáltatód vagy te megteszel].</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>7. Egyéb rendelkezések</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Fenntartjuk a jogot, hogy ezt az Adatkezelési Tájékoztatót egyoldalúan módosítsuk. A módosítások a Weboldalon való közzététellel lépnek hatályba. Jelentős módosítások esetén a regisztrált Felhasználókat e-mailben is értesíthetjük.</p>
<!-- /wp:paragraph -->","Adatkezelési Tájékoztató",,"publish","closed","open",,"privacy-policy",,,"2025-10-24 20:27:12","2025-10-24 20:27:12",,"0","https://pharmagister.hu/?page_id=3","0","page",,"0"
"4","0","2025-10-01 16:48:38","2025-10-01 16:48:38","<!-- wp:page-list /-->","Navigation",,"publish","closed","closed",,"navigation",,,"2025-10-01 16:48:38","2025-10-01 16:48:38",,"0","https://pharmagister.hu/2025/10/01/navigation/","0","wp_navigation",,"0"
"6","1","2025-10-01 17:32:07","2025-10-01 17:32:07","{""version"": 3, ""isGlobalStylesUserThemeJSON"": true }","Custom Styles",,"publish","closed","closed",,"wp-global-styles-astra",,,"2025-10-01 17:32:07","2025-10-01 17:32:07",,"0","https://pharmagister.hu/2025/10/01/wp-global-styles-astra/","0","wp_global_styles",,"0"
"38","15","2025-10-02 17:44:24","2025-10-02 17:44:24",,"Automatikus vázlat",,"trash","open","open",,"__trashed",,,"2025-10-02 17:44:24","2025-10-02 17:44:24",,"0","https://pharmagister.hu/?p=38","0","post",,"0"
"43","1","2025-10-02 19:56:33","2025-10-02 19:56:33","<!-- wp:shortcode -->
[pss_calendar]
<!-- /wp:shortcode -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->","Naptár",,"publish","closed","closed",,"naptar",,,"2025-10-24 20:25:57","2025-10-24 20:25:57",,"0","https://pharmagister.hu/?page_id=43","0","page",,"0"
"82","1","2025-10-07 08:14:42","2025-10-07 08:14:42","<!-- wp:paragraph -->
<p>[pss_edit_profile]</p>
<!-- /wp:paragraph -->","Profilom szerkesztése",,"publish","closed","closed",,"profilom-szerkesztese",,,"2025-10-24 20:25:43","2025-10-24 20:25:43",,"0","https://pharmagister.hu/?page_id=82","0","page",,"0"
"84","1","2025-10-07 08:15:04","0000-00-00 00:00:00"," ",,,"draft","closed","closed",,,,,"2025-10-07 08:15:04","0000-00-00 00:00:00",,"0","https://pharmagister.hu/?p=84","1","nav_menu_item",,"0"
"86","1","2025-10-24 18:26:42","2025-10-07 11:05:28"," ",,,"publish","closed","closed",,"86",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=86","2","nav_menu_item",,"0"
"87","1","2025-10-24 18:26:42","2025-10-07 11:05:28"," ",,,"publish","closed","closed",,"87",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=87","3","nav_menu_item",,"0"
"95","1","2025-10-24 18:26:42","2025-10-07 12:18:13",,"Kilépés",,"publish","closed","closed",,"kilepes",,,"2025-10-24 18:26:42","2025-10-24 18:26:42",,"0","https://pharmagister.hu/?p=95","7","nav_menu_item",,"0"
